"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"TRX","random_forest","lagged_returns_plus_aggregate_signals",5040,0.489484126984127,0.495990691476777,0.552443903287528,0.499093217093512,0.479761904761905,0.660912698412698
"XRP","random_forest","lagged_returns_plus_aggregate_signals",5040,0.502777777777778,0.507467167866473,0.56477943730462,0.510563573964404,0.485119047619048,0.65734126984127
"ADA","xgboost","lagged_returns_plus_aggregate_signals",5040,0.517460317460318,0.515783776258348,0.486919831223629,0.520449638223842,0.475595238095238,0.464880952380952
"AVAX","xgboost","lagged_returns_plus_aggregate_signals",5040,0.513293650793651,0.510252968783332,0.471222246173744,0.517349383133044,0.455555555555556,0.464880952380952
"BNB","xgboost","lagged_returns_plus_aggregate_signals",5040,0.522420634920635,0.522983870967742,0.509076075871915,0.527485666582661,0.507936507936508,0.464880952380952
"BTC","xgboost","lagged_returns_plus_aggregate_signals",5040,0.516071428571429,0.516002204594217,0.498044865198601,0.524829793516131,0.499007936507937,0.465079365079365
"DOGE","xgboost","lagged_returns_plus_aggregate_signals",5040,0.510714285714286,0.510339197101708,0.490074441687345,0.513850875108332,0.494642857142857,0.464880952380952
"DOT","xgboost","lagged_returns_plus_aggregate_signals",5040,0.517460317460318,0.515490866001777,0.484527342094108,0.52332094401106,0.471230158730159,0.464880952380952
"ETH","xgboost","lagged_returns_plus_aggregate_signals",5040,0.513492063492063,0.513228028993208,0.493806771263419,0.520728297889194,0.496230158730159,0.464880952380952
"LINK","xgboost","lagged_returns_plus_aggregate_signals",5040,0.515674603174603,0.512016166722055,0.469693678036063,0.517794218350906,0.460119047619048,0.453174603174603
"LTC","xgboost","lagged_returns_plus_aggregate_signals",5040,0.508531746031746,0.507727544006368,0.484495317377732,0.515054034670671,0.488492063492063,0.464880952380952
"SOL","xgboost","lagged_returns_plus_aggregate_signals",5040,0.516269841269841,0.516089099750859,0.497319587628866,0.519284574057227,0.497420634920635,0.464880952380952
"TRX","xgboost","lagged_returns_plus_aggregate_signals",5040,0.494047619047619,0.492622077364087,0.464510709785804,0.490839899583533,0.479761904761905,0.465079365079365
"XRP","xgboost","lagged_returns_plus_aggregate_signals",5040,0.513095238095238,0.512060711372744,0.487468671679198,0.518219006978183,0.485119047619048,0.464880952380952
"ADA","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.513293650793651,0.512840018998398,0.495993425107869,0.516363230554778,0.475595238095238,0.490079365079365
"AVAX","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.508531746031746,0.507799722676527,0.480821630685391,0.512628281153178,0.455555555555556,0.491071428571429
"BNB","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.51031746031746,0.510446068548387,0.51031746031746,0.517641444052419,0.507936507936508,0.492063492063492
"BTC","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.512103174603175,0.512081176308486,0.506125728057843,0.515270358049721,0.499007936507937,0.488888888888889
"DOGE","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.512103174603175,0.512036529136706,0.506324031319012,0.512189214212831,0.494642857142857,0.493650793650794
"DOT","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.516269841269841,0.516174977782166,0.500614502253175,0.518623560778118,0.471230158730159,0.497420634920635
"ETH","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.512301587301587,0.512225987903381,0.505432595573441,0.518157762495632,0.496230158730159,0.489880952380952
"LINK","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.517460317460318,0.516823536739071,0.492487479131886,0.519112443599436,0.460119047619048,0.490674603174603
"LTC","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.516865079365079,0.516714100881104,0.507782494441075,0.5200159570546,0.488492063492063,0.493055555555556
"SOL","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.518253968253968,0.518196109716324,0.511468812877264,0.516122956786926,0.497420634920635,0.488690476190476
"TRX","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.496428571428571,0.496004413882911,0.480556692591077,0.492825705252811,0.479761904761905,0.48968253968254
"XRP","glmnet_logistic","lagged_returns_plus_pair_signals",5040,0.516666666666667,0.516439117226379,0.505280259951259,0.51165880586782,0.485119047619048,0.491865079365079
"ADA","random_forest","lagged_returns_plus_pair_signals",5040,0.51031746031746,0.516933529757448,0.558970693352395,0.523229945490887,0.475595238095238,0.634722222222222
"AVAX","random_forest","lagged_returns_plus_pair_signals",5040,0.508134920634921,0.521123693379791,0.552769258524265,0.523203540064607,0.455555555555556,0.644246031746032
"BNB","random_forest","lagged_returns_plus_pair_signals",5040,0.521031746031746,0.518560987903226,0.588475963177634,0.527141664566532,0.507936507936508,0.655952380952381
"BTC","random_forest","lagged_returns_plus_pair_signals",5040,0.516865079365079,0.517176151014704,0.581974248927039,0.522425447316103,0.499007936507937,0.656746031746032
"DOGE","random_forest","lagged_returns_plus_pair_signals",5040,0.524007936507937,0.525669046475006,0.58587950975315,0.525669046475006,0.494642857142857,0.654761904761905
"DOT","random_forest","lagged_returns_plus_pair_signals",5040,0.509920634920635,0.518853757282512,0.564527503526093,0.525412145748988,0.471230158730159,0.654166666666667
"ETH","random_forest","lagged_returns_plus_pair_signals",5040,0.526984126984127,0.528133134300435,0.588113337940567,0.525652755833468,0.496230158730159,0.65218253968254
"LINK","random_forest","lagged_returns_plus_pair_signals",5040,0.508730158730159,0.520269496080744,0.554676258992806,0.522655708820239,0.460119047619048,0.643055555555556
"LTC","random_forest","lagged_returns_plus_pair_signals",5040,0.524603174603175,0.5280612871898,0.582287308228731,0.528785010830252,0.488492063492063,0.649603174603175
"SOL","random_forest","lagged_returns_plus_pair_signals",5040,0.521031746031746,0.521848102848542,0.585508241758242,0.521552129363483,0.497420634920635,0.658134920634921
"TRX","random_forest","lagged_returns_plus_pair_signals",5040,0.494642857142857,0.501399212239251,0.559266309050009,0.5041603338551,0.479761904761905,0.666865079365079
"XRP","random_forest","lagged_returns_plus_pair_signals",5040,0.515277777777778,0.520291499698571,0.579590431939425,0.520742106694091,0.485119047619048,0.667857142857143
"ADA","xgboost","lagged_returns_plus_pair_signals",5040,0.517460317460318,0.515783776258348,0.486919831223629,0.520394076275506,0.475595238095238,0.464880952380952
"AVAX","xgboost","lagged_returns_plus_pair_signals",5040,0.513293650793651,0.510252968783332,0.471222246173744,0.517344145224043,0.455555555555556,0.464880952380952
"BNB","xgboost","lagged_returns_plus_pair_signals",5040,0.522420634920635,0.522983870967742,0.509076075871915,0.52748283140121,0.507936507936508,0.464880952380952
"BTC","xgboost","lagged_returns_plus_pair_signals",5040,0.516071428571429,0.516002204594217,0.498044865198601,0.524828140070468,0.499007936507937,0.465079365079365
"DOGE","xgboost","lagged_returns_plus_pair_signals",5040,0.510714285714286,0.510339197101708,0.490074441687345,0.513848119060027,0.494642857142857,0.464880952380952
"DOT","xgboost","lagged_returns_plus_pair_signals",5040,0.517460317460318,0.515490866001777,0.484527342094108,0.523321496988249,0.471230158730159,0.464880952380952
"ETH","xgboost","lagged_returns_plus_pair_signals",5040,0.513492063492063,0.513228028993208,0.493806771263419,0.520726408137021,0.496230158730159,0.464880952380952
"LINK","xgboost","lagged_returns_plus_pair_signals",5040,0.515674603174603,0.512016166722055,0.469693678036063,0.517787403769795,0.460119047619048,0.453174603174603
"LTC","xgboost","lagged_returns_plus_pair_signals",5040,0.508531746031746,0.507727544006368,0.484495317377732,0.515052380355177,0.488492063492063,0.464880952380952
"SOL","xgboost","lagged_returns_plus_pair_signals",5040,0.516269841269841,0.516089099750859,0.497319587628866,0.519231583858918,0.497420634920635,0.464880952380952
"TRX","xgboost","lagged_returns_plus_pair_signals",5040,0.494047619047619,0.492622077364087,0.464510709785804,0.490838322295471,0.479761904761905,0.465079365079365
"XRP","xgboost","lagged_returns_plus_pair_signals",5040,0.513095238095238,0.512060711372744,0.487468671679198,0.518216564023153,0.485119047619048,0.464880952380952
"ADA","glmnet_logistic","lagged_returns_plus_all_network",5040,0.512698412698413,0.512563708797935,0.498775510204082,0.514304281537443,0.475595238095238,0.496626984126984
"AVAX","glmnet_logistic","lagged_returns_plus_all_network",5040,0.505952380952381,0.505644243760222,0.480817347789825,0.510511213569549,0.455555555555556,0.496031746031746
"BNB","glmnet_logistic","lagged_returns_plus_all_network",5040,0.513690476190476,0.513709677419355,0.51704433497537,0.515159715221774,0.507936507936508,0.499007936507937
"BTC","glmnet_logistic","lagged_returns_plus_all_network",5040,0.510515873015873,0.510496230537567,0.505115346038114,0.513467629864378,0.499007936507937,0.490079365079365
"DOGE","glmnet_logistic","lagged_returns_plus_all_network",5040,0.514285714285714,0.514251210810765,0.510008006405124,0.509270795290024,0.494642857142857,0.496626984126984
"DOT","glmnet_logistic","lagged_returns_plus_all_network",5040,0.514087301587302,0.513446825318456,0.493485005170631,0.514122958427965,0.471230158730159,0.488095238095238
"ETH","glmnet_logistic","lagged_returns_plus_all_network",5040,0.509920634920635,0.509973560792304,0.511471518987342,0.516650842616872,0.496230158730159,0.506944444444444
"LINK","glmnet_logistic","lagged_returns_plus_all_network",5040,0.513293650793651,0.513378765987126,0.493077082041744,0.517579479806574,0.460119047619048,0.5
"LTC","glmnet_logistic","lagged_returns_plus_all_network",5040,0.518650793650794,0.518633264408773,0.512459807073955,0.520003982961496,0.488492063492063,0.498809523809524
"SOL","glmnet_logistic","lagged_returns_plus_all_network",5040,0.520039682539683,0.520042263029487,0.518989858818851,0.513725248735046,0.497420634920635,0.500396825396825
"TRX","glmnet_logistic","lagged_returns_plus_all_network",5040,0.493055555555556,0.492505200318738,0.475467049887087,0.490424599636971,0.479761904761905,0.486706349206349
"XRP","glmnet_logistic","lagged_returns_plus_all_network",5040,0.510912698412698,0.510768703381917,0.500911115610447,0.508276337616385,0.485119047619048,0.49484126984127
"ADA","random_forest","lagged_returns_plus_all_network",5040,0.504365079365079,0.509471970496605,0.540977581771408,0.516469619058127,0.475595238095238,0.604166666666667
"AVAX","random_forest","lagged_returns_plus_all_network",5040,0.504365079365079,0.514070610822726,0.533955223880597,0.519427087036905,0.455555555555556,0.607936507936508
"BNB","random_forest","lagged_returns_plus_all_network",5040,0.521031746031746,0.518844506048387,0.582063711911357,0.520846616683468,0.507936507936508,0.638095238095238
"BTC","random_forest","lagged_returns_plus_all_network",5040,0.517460317460318,0.517743440348011,0.577337504344804,0.523244060390134,0.499007936507937,0.64265873015873
"DOGE","random_forest","lagged_returns_plus_all_network",5040,0.512103174603175,0.513363212046734,0.56128456735058,0.516302261959714,0.494642857142857,0.617460317460317
"DOT","random_forest","lagged_returns_plus_all_network",5040,0.513293650793651,0.519866890490767,0.551143641354071,0.528040920312037,0.471230158730159,0.613095238095238
"ETH","random_forest","lagged_returns_plus_all_network",5040,0.527579365079365,0.528565336370375,0.580736045078359,0.528717933858359,0.496230158730159,0.630555555555556
"LINK","random_forest","lagged_returns_plus_all_network",5040,0.511111111111111,0.520913711713742,0.547889908256881,0.515896436750624,0.460119047619048,0.621230158730159
"LTC","random_forest","lagged_returns_plus_all_network",5040,0.505753968253968,0.508768029675584,0.558411629143769,0.516004950972391,0.488492063492063,0.630753968253968
"SOL","random_forest","lagged_returns_plus_all_network",5040,0.517063492063492,0.517736441398746,0.571780436312456,0.522298322690938,0.497420634920635,0.630357142857143
"TRX","random_forest","lagged_returns_plus_all_network",5040,0.493650793650794,0.50034921157679,0.557865557865558,0.50360039659331,0.479761904761905,0.66547619047619
"XRP","random_forest","lagged_returns_plus_all_network",5040,0.507142857142857,0.511611522867241,0.565734265734266,0.513815777549243,0.485119047619048,0.649801587301587
"ADA","xgboost","lagged_returns_plus_all_network",5040,0.517460317460318,0.515783776258348,0.486919831223629,0.520449401454176,0.475595238095238,0.464880952380952
"AVAX","xgboost","lagged_returns_plus_all_network",5040,0.513293650793651,0.510252968783332,0.471222246173744,0.517348827597241,0.455555555555556,0.464880952380952
"BNB","xgboost","lagged_returns_plus_all_network",5040,0.522420634920635,0.522983870967742,0.509076075871915,0.527485902847782,0.507936507936508,0.464880952380952
